ferramenta_comunic_id,respondent_id
0,101346
6,44791
9,44791
2,32306
0,32306
3,32306
0,37142
3,37142
0,21745
3,21745
10,23026
1,23026
8,23026
6,23026
11,73074
0,73074
5,6595
5,67775
10,97770
6,97770
7,97770
9,97770
6,96978
0,96978
11,47465
4,47465
3,47465
9,47465
8,61810
9,61810
10,69304
6,69304
0,69304
10,56208
6,56208
0,56208
3,56208
5,3142
11,26064
1,26064
3,26064
7,26064
5,35106
5,24247
6,98390
9,98390
1,92482
0,92482
3,92482
2,60118
5,54761
2,51214
7,51214
1,67774
2,67774
0,67774
3,67774
9,67774
5,37969
5,43430
2,68253
0,68253
3,68253
9,68253
2,48743
0,48743
9,48743
10,53959
6,53959
0,53959
5,67313
10,22299
8,22299
6,22299
2,22299
9,22299
0,89570
0,70693
3,70693
9,70693
10,56987
1,56987
6,56987
0,56987
5,5842
9,8640
6,62645
0,62645
5,50329
10,95742
2,95742
11,29085
1,18789
2,18789
0,18789
3,18789
9,18789
5,28871
5,55765
11,36602
1,36602
6,36602
2,36602
0,36602
4,36602
3,36602
9,36602
0,25588
7,25588
1,20882
2,20882
3,20882
9,20882
10,51717
1,51717
6,51717
2,51717
0,96956
10,16812
6,16812
2,16812
9,16812
10,70881
1,70881
6,70881
0,70881
3,70881
9,70881
5,14969
10,44408
6,44408
0,44408
7,1307
9,1307
0,89705
5,57288
5,44818
6,38942
2,38942
10,95992
2,39612
1,59546
2,59546
4,59546
7,59546
10,82382
6,82382
0,82382
3,82382
5,31476
5,86356
1,48385
0,48385
5,52934
10,76576
8,76576
6,76576
2,76576
9,76576
11,37828
1,37828
2,37828
0,37828
3,37828
1,90777
0,90777
3,90777
9,90777
6,3400
0,3400
9,3400
10,26647
6,26647
2,26647
0,26647
7,26647
5,61415
5,42335
9,247
2,91096
2,31031
0,7971
5,10916
0,10231
5,30426
2,38360
7,38360
5,9476
2,12141
5,89282
5,89031
5,13576
8,71554
6,71554
3,71554
10,31120
6,31120
2,31120
0,31120
9,31120
5,91725
10,30083
8,30083
6,30083
2,30083
7,30083
9,1655
5,64976
5,68893
10,18238
6,18238
0,18238
2,55594
7,55594
9,55594
5,8610
5,101348
2,1491
10,44473
6,44473
2,44473
0,44473
9,44473
5,75347
5,91075
5,6882
1,47144
0,47144
7,47144
9,47144
6,15798
0,15798
5,9139
10,48047
6,48047
0,48047
5,28714
0,55500
3,55500
7,82238
9,82238
1,68591
6,68591
0,68591
9,68591
10,96337
6,96337
0,96337
5,48113
10,20419
6,20419
2,20419
0,20419
0,35773
7,35773
5,101050
10,15354
1,15354
6,15354
0,15354
0,63159
1,41271
6,41271
2,41271
0,41271
7,6075
9,6075
5,52904
10,46195
6,46195
2,46195
11,47569
5,87730
10,31220
8,31220
6,31220
1,59396
0,59396
3,59396
2,37025
1,91958
0,91958
9,91958
0,427
5,66340
6,92326
0,92326
9,92326
1,35934
2,35934
2,23119
0,23119
7,23119
9,23119
8,83305
6,83305
2,83305
3,83305
7,83305
0,80184
10,14349
6,14349
5,76808
5,55108
1,39681
7,39681
5,94622
2,32415
0,32415
9,32415
5,93833
10,66800
6,66800
2,66800
2,77993
7,77993
5,20424
0,23469
2,79582
0,79582
2,32735
9,32735
11,26417
1,26417
6,26417
2,26417
9,26417
5,81901
5,85570
11,5494
0,5494
3,5494
0,54819
3,54819
7,54819
9,54819
6,42749
2,42749
10,14786
1,14786
8,14786
6,14786
2,14786
0,14786
3,14786
9,14786
10,99442
6,99442
0,99442
1,15976
6,15976
2,15976
10,94454
1,94454
7,94454
9,94454
0,70216
10,24445
1,24445
6,24445
0,24445
6,42276
2,42276
9,42276
5,46823
5,79993
7,6956
9,6956
5,88372
1,2747
0,2747
9,2747
5,97994
11,12927
10,91581
6,91581
0,91581
2,67630
1,67086
6,67086
0,67086
3,67086
9,67086
2,39484
4,39484
9,39484
7,33341
0,66875
0,34449
9,34449
5,84138
2,70872
0,70872
3,70872
9,70872
10,8089
11,8089
6,12430
2,12430
0,12430
5,78159
6,90334
1,72275
6,72275
2,72275
0,72275
9,72275
10,83551
6,83551
11,9747
5,33014
11,45027
1,45027
1,45743
3,27049
7,27049
9,73899
10,48647
6,48647
2,48647
0,48647
5,13202
11,47897
6,47897
2,47897
0,47897
10,32040
6,32040
2,32040
0,32040
5,35864
11,34594
1,34594
2,34594
0,34594
3,34594
10,2193
6,2193
2,2193
10,30556
6,30556
0,30556
3,30556
9,30556
7,86208
10,88973
11,88973
6,88973
0,88973
1,10132
9,10132
6,13708
2,13708
11,8375
1,8375
2,8375
4,8375
3,8375
9,8375
1,61724
6,61724
0,61724
9,61724
5,19420
10,36798
8,36798
6,36798
1,53768
2,53768
0,53768
9,53768
0,67130
8,66872
6,66872
10,12379
1,12379
6,12379
0,12379
10,39115
6,39115
0,39115
10,58417
6,58417
0,58417
5,68048
10,29603
8,29603
2,6113
0,6113
3,6113
2,87427
7,87427
9,87427
2,49240
0,49240
9,49240
2,3426
5,27084
5,24925
1,55085
1,64956
2,64956
0,64956
3,64956
2,40435
6,39898
2,39898
0,39898
3,39898
10,54063
6,54063
2,54063
7,54063
0,71343
7,71343
5,69731
5,7224
0,52012
5,63414
5,80464
2,51836
5,2763
2,87916
0,87916
3,87916
7,87916
9,87916
5,67497
6,2607
2,2607
0,2607
0,14017
7,23274
1,89202
