respondent_id,language_worked_with_id,momento
101346,0,0-2 years
101346,5,0-2 years
101346,30,0-2 years
101346,22,0-2 years
101346,19,0-2 years
44791,15,9-11 years
44791,10,9-11 years
44791,38,9-11 years
44791,5,9-11 years
44791,30,9-11 years
44791,22,9-11 years
44791,19,9-11 years
32306,37,9-11 years
32306,15,9-11 years
32306,10,9-11 years
32306,0,9-11 years
32306,38,9-11 years
32306,5,9-11 years
32306,28,9-11 years
32306,30,9-11 years
32306,18,9-11 years
32306,4,9-11 years
37142,10,6-8 years
37142,38,6-8 years
37142,5,6-8 years
37142,34,6-8 years
37142,22,6-8 years
37142,19,6-8 years
37142,4,6-8 years
21745,15,6-8 years
21745,10,6-8 years
21745,38,6-8 years
21745,5,6-8 years
21745,28,6-8 years
21745,34,6-8 years
21745,30,6-8 years
21745,22,6-8 years
21745,19,6-8 years
23026,38,9-11 years
23026,5,9-11 years
23026,30,9-11 years
23026,22,9-11 years
23026,19,9-11 years
23026,4,9-11 years
73074,15,9-11 years
73074,10,9-11 years
73074,34,9-11 years
73074,4,9-11 years
6595,24,6-8 years
67775,0,3-5 years
67775,5,3-5 years
67775,18,3-5 years
67775,22,3-5 years
67775,19,3-5 years
67775,4,3-5 years
97770,5,9-11 years
97770,34,9-11 years
97770,30,9-11 years
97770,18,9-11 years
97770,22,9-11 years
97770,19,9-11 years
97770,4,9-11 years
96978,10,12-14 years
96978,0,12-14 years
96978,38,12-14 years
96978,5,12-14 years
96978,34,12-14 years
96978,18,12-14 years
96978,22,12-14 years
47465,15,9-11 years
47465,10,9-11 years
47465,38,9-11 years
47465,5,9-11 years
47465,7,9-11 years
47465,28,9-11 years
47465,34,9-11 years
47465,33,9-11 years
47465,30,9-11 years
47465,2,9-11 years
47465,35,9-11 years
47465,6,9-11 years
47465,22,9-11 years
47465,19,9-11 years
47465,4,9-11 years
61810,38,3-5 years
61810,5,3-5 years
61810,34,3-5 years
61810,18,3-5 years
61810,22,3-5 years
61810,19,3-5 years
61810,4,3-5 years
69304,38,21-23 years
69304,5,21-23 years
69304,33,21-23 years
69304,30,21-23 years
69304,18,21-23 years
69304,22,21-23 years
69304,19,21-23 years
56208,38,12-14 years
56208,5,12-14 years
56208,30,12-14 years
56208,22,12-14 years
56208,19,12-14 years
3142,24,3-5 years
26064,38,6-8 years
26064,18,6-8 years
26064,29,6-8 years
35106,38,0-2 years
35106,5,0-2 years
35106,30,0-2 years
24247,15,6-8 years
24247,31,6-8 years
98390,10,30 or more years
98390,38,30 or more years
98390,5,30 or more years
98390,34,30 or more years
98390,4,30 or more years
92482,0,9-11 years
92482,38,9-11 years
92482,5,9-11 years
92482,9,9-11 years
92482,28,9-11 years
92482,34,9-11 years
92482,23,9-11 years
92482,33,9-11 years
92482,3,9-11 years
92482,30,9-11 years
92482,18,9-11 years
92482,29,9-11 years
92482,22,9-11 years
92482,19,9-11 years
92482,4,9-11 years
60118,30,6-8 years
54761,24,12-14 years
51214,5,3-5 years
51214,28,3-5 years
51214,30,3-5 years
51214,2,3-5 years
51214,22,3-5 years
51214,19,3-5 years
67774,36,6-8 years
67774,8,6-8 years
67774,5,6-8 years
67774,28,6-8 years
67774,34,6-8 years
67774,33,6-8 years
67774,30,6-8 years
67774,22,6-8 years
67774,19,6-8 years
67774,4,6-8 years
37969,5,3-5 years
37969,22,3-5 years
37969,19,3-5 years
43430,5,9-11 years
43430,9,9-11 years
43430,34,9-11 years
43430,22,9-11 years
43430,19,9-11 years
68253,38,9-11 years
68253,5,9-11 years
68253,28,9-11 years
68253,30,9-11 years
68253,18,9-11 years
68253,22,9-11 years
68253,19,9-11 years
68253,4,9-11 years
48743,5,12-14 years
48743,28,12-14 years
48743,34,12-14 years
48743,30,12-14 years
48743,18,12-14 years
48743,22,12-14 years
48743,4,12-14 years
53959,0,6-8 years
53959,5,6-8 years
53959,18,6-8 years
53959,22,6-8 years
53959,19,6-8 years
67313,0,3-5 years
22299,38,9-11 years
22299,5,9-11 years
22299,30,9-11 years
22299,18,9-11 years
22299,21,9-11 years
22299,22,9-11 years
22299,19,9-11 years
22299,4,9-11 years
89570,38,3-5 years
89570,29,3-5 years
70693,38,3-5 years
70693,5,3-5 years
70693,16,3-5 years
70693,17,3-5 years
56987,8,12-14 years
56987,5,12-14 years
56987,28,12-14 years
56987,30,12-14 years
56987,22,12-14 years
56987,19,12-14 years
56987,4,12-14 years
5842,9,0-2 years
5842,33,0-2 years
5842,17,0-2 years
5842,6,0-2 years
5842,14,0-2 years
8640,0,3-5 years
8640,38,3-5 years
8640,5,3-5 years
8640,28,3-5 years
8640,30,3-5 years
8640,22,3-5 years
62645,27,15-17 years
62645,38,15-17 years
62645,28,15-17 years
62645,34,15-17 years
62645,18,15-17 years
62645,22,15-17 years
62645,19,15-17 years
50329,15,0-2 years
50329,38,0-2 years
50329,5,0-2 years
50329,22,0-2 years
50329,19,0-2 years
95742,0,9-11 years
95742,30,9-11 years
29085,15,21-23 years
29085,38,21-23 years
29085,5,21-23 years
29085,28,21-23 years
29085,30,21-23 years
29085,21,21-23 years
29085,22,21-23 years
29085,19,21-23 years
18789,15,3-5 years
18789,0,3-5 years
18789,38,3-5 years
18789,5,3-5 years
18789,33,3-5 years
18789,22,3-5 years
18789,19,3-5 years
28871,38,3-5 years
28871,16,3-5 years
28871,17,3-5 years
55765,24,3-5 years
36602,0,3-5 years
36602,5,3-5 years
36602,28,3-5 years
36602,30,3-5 years
36602,22,3-5 years
36602,19,3-5 years
25588,5,0-2 years
25588,16,0-2 years
25588,3,0-2 years
25588,18,0-2 years
20882,38,9-11 years
20882,5,9-11 years
20882,18,9-11 years
20882,22,9-11 years
20882,19,9-11 years
20882,4,9-11 years
51717,0,18-20 years
51717,38,18-20 years
51717,5,18-20 years
51717,28,18-20 years
51717,30,18-20 years
51717,35,18-20 years
51717,22,18-20 years
51717,19,18-20 years
51717,4,18-20 years
96956,36,9-11 years
96956,31,9-11 years
96956,5,9-11 years
96956,28,9-11 years
96956,34,9-11 years
96956,22,9-11 years
96956,19,9-11 years
96956,4,9-11 years
16812,0,9-11 years
16812,38,9-11 years
16812,5,9-11 years
16812,34,9-11 years
16812,26,9-11 years
16812,30,9-11 years
16812,22,9-11 years
16812,19,9-11 years
70881,38,9-11 years
70881,34,9-11 years
70881,23,9-11 years
70881,30,9-11 years
70881,22,9-11 years
14969,38,0-2 years
44408,0,6-8 years
44408,5,6-8 years
44408,34,6-8 years
44408,30,6-8 years
44408,21,6-8 years
44408,4,6-8 years
1307,0,0-2 years
1307,5,0-2 years
1307,30,0-2 years
1307,18,0-2 years
1307,22,0-2 years
1307,19,0-2 years
1307,4,0-2 years
89705,17,6-8 years
57288,10,30 or more years
57288,5,30 or more years
57288,28,30 or more years
57288,34,30 or more years
57288,22,30 or more years
57288,19,30 or more years
44818,37,3-5 years
44818,15,3-5 years
44818,10,3-5 years
44818,38,3-5 years
44818,5,3-5 years
44818,28,3-5 years
44818,34,3-5 years
44818,30,3-5 years
44818,22,3-5 years
44818,19,3-5 years
38942,10,6-8 years
38942,38,6-8 years
38942,5,6-8 years
38942,9,6-8 years
38942,16,6-8 years
38942,34,6-8 years
38942,18,6-8 years
38942,22,6-8 years
38942,19,6-8 years
95992,0,15-17 years
