id,nome,contrib_open_source,programa_hobby,salario,sistema_operacional_id,pais_id,empresa_id
101346,respondent_101346,No,No,15875.0,4,130,3
44791,respondent_44791,No,Yes,25257.76,4,42,0
32306,respondent_32306,Yes,Yes,39687.5,4,130,2
37142,respondent_37142,No,Yes,0.0,2,130,1
21745,respondent_21745,Yes,Yes,0.0,4,81,4
23026,respondent_23026,No,Yes,8393.43,4,95,3
73074,respondent_73074,Yes,Yes,6351.27,1,48,4
6595,respondent_6595,Yes,Yes,0.0,3,89,4
67775,respondent_67775,No,Yes,0.0,4,34,1
97770,respondent_97770,Yes,Yes,27976.83,2,42,0
96978,respondent_96978,No,Yes,32702.5,4,130,4
47465,respondent_47465,Yes,Yes,3566.16,4,17,4
61810,respondent_61810,Yes,Yes,17874.62,2,42,4
69304,respondent_69304,Yes,Yes,50515.52,2,13,8
56208,respondent_56208,No,Yes,0.0,4,3,4
3142,respondent_3142,No,Yes,0.0,3,134,0
26064,respondent_26064,No,Yes,1847.85,4,50,4
35106,respondent_35106,No,Yes,0.0,4,56,8
24247,respondent_24247,Yes,Yes,36830.0,2,130,8
98390,respondent_98390,No,Yes,21169.0,4,128,0
92482,respondent_92482,No,Yes,1905.0,4,85,1
60118,respondent_60118,No,No,2023.11,4,100,2
54761,respondent_54761,Yes,Yes,0.0,3,130,2
51214,respondent_51214,Yes,Yes,15876.59,4,128,3
67774,respondent_67774,Yes,Yes,32385.0,2,130,1
37969,respondent_37969,Yes,Yes,0.0,4,50,8
43430,respondent_43430,No,Yes,0.0,4,99,4
68253,respondent_68253,Yes,Yes,11430.0,2,61,6
48743,respondent_48743,Yes,Yes,228600.0,1,130,8
53959,respondent_53959,Yes,Yes,10725.15,4,95,6
67313,respondent_67313,No,Yes,0.0,4,52,8
22299,respondent_22299,No,Yes,11658.6,4,13,4
89570,respondent_89570,No,Yes,15543.21,2,40,4
70693,respondent_70693,Yes,Yes,14553.57,2,128,7
56987,respondent_56987,No,Yes,25257.76,2,42,4
5842,respondent_5842,No,Yes,0.0,4,3,8
8640,respondent_8640,No,Yes,838.2,4,82,1
62645,respondent_62645,No,Yes,13613.13,2,48,6
50329,respondent_50329,No,Yes,2967.99,4,23,3
95742,respondent_95742,No,No,19043.65,4,7,3
29085,respondent_29085,Yes,Yes,0.0,4,50,4
18789,respondent_18789,No,No,1653.54,1,17,3
28871,respondent_28871,Yes,Yes,0.0,2,50,4
55765,respondent_55765,No,Yes,0.0,3,21,2
36602,respondent_36602,No,Yes,2293.62,4,11,3
25588,respondent_25588,Yes,Yes,6995.48,2,118,3
20882,respondent_20882,Yes,Yes,37898.07,2,55,4
51717,respondent_51717,Yes,Yes,26423.62,4,42,0
96956,respondent_96956,Yes,Yes,18263.24,2,111,3
16812,respondent_16812,No,No,16504.6,4,7,0
70881,respondent_70881,Yes,Yes,19685.0,4,130,2
14969,respondent_14969,Yes,Yes,2331.72,4,56,7
44408,respondent_44408,No,Yes,24511.0,4,130,4
1307,respondent_1307,No,Yes,7497.45,4,128,4
89705,respondent_89705,No,No,6198.87,3,89,1
57288,respondent_57288,No,No,0.0,4,130,8
44818,respondent_44818,No,Yes,0.0,1,133,8
38942,respondent_38942,No,Yes,16617.63,2,21,4
95992,respondent_95992,No,Yes,26661.11,4,7,7
39612,respondent_39612,No,Yes,8100.06,0,40,4
59546,respondent_59546,No,No,44450.0,2,130,2
82382,respondent_82382,Yes,Yes,42227.5,1,130,3
31476,respondent_31476,No,Yes,0.0,3,74,8
86356,respondent_86356,No,Yes,0.0,3,130,8
48385,respondent_48385,Yes,No,0.0,1,130,8
52934,respondent_52934,Yes,Yes,0.0,3,50,8
76576,respondent_76576,Yes,Yes,79375.0,2,130,0
37828,respondent_37828,Yes,No,20981.67,2,42,2
90777,respondent_90777,Yes,Yes,30871.48,1,128,4
3400,respondent_3400,Yes,Yes,21371.88,2,82,4
26647,respondent_26647,No,Yes,12192.0,4,65,3
